text,date
"Hoy tuve una conversación con un auténtico cristiano, el obispo católico del Istmo de Tehuantepec, Arturo Lona.",26 feb.
Sigue las actividades del presidente de México a través de Telegram,26 feb.
La información es democracia. Conferencia de prensa matutina desde Palacio Nacional.,26 feb.
"Queremos la modernidad, pero forjada desde abajo y para todos. Conferencia de prensa matutina.",25 feb.
Celebramos el Día de la Bandera con un representante del pueblo soberano. Así será siempre.,24 feb.
"Día de la Bandera Nacional, desde Chetumal, Quintana Roo.",24 feb.
"En Escárcega, Campeche, informando, orientando, concientizando. La Cuarta Transformación va.",24 feb.
"Entrega de 'Crédito Ganadero a la Palabra', desde Candelaria, Campeche.",23 feb.
"Entrega de 'Crédito Ganadero a la Palabra', desde Macuspana, Tabasco.",22 feb.
"Me preguntaron sobre la carta de la señora María Consuelo Loera, madre de Joaquín Guzmán. Dije que la primera parte de la petición la atenderá la Secretaría de Gobernación. Omití que la gestión de visas humanitarias ante EUA para sus hijas, la incluye a ella.",22 feb.
"Aniversario luctuoso de Francisco I. Madero, Apóstol de la Democracia y José Maria Pino Suárez, Caballero de la Lea…",22 feb.
La ciudadanía tendrá la última palabra. Conferencia matutina en vivo.,22 feb.
"Recibí a pastores de la comunidad evangélica al igual que lo hago con católicos, judíos, personas de otras religiones, ateos, no creyentes y librepensadores. En un país plural, la mayoría coincidimos en que se necesita buscar el bienestar material y del alma.",21 feb.
Avances en el Plan contra el robo de combustible. Conferencia de prensa.,21 feb.
"En compañía del secretario de Relaciones Exteriores, Marcelo Ebrard y de la secretaria de Trabajo, Luisa María Alcalde, atendimos al director general de la Organización Internacional del Trabajo (OIT)",21 feb.
"Acompañé al ciudadano gobernador de Nuevo León, Jaime Rodríguez y a Alfredo Harp, en la inauguración del Salón de la Fama del Béisbol Mexicano, en Monterrey.

Alfredo es el más apasionado promotor de béisbol en México.",20 feb.
"Conferencia de prensa matutina, desde Monterrey, Nuevo León.",20 feb.
"Día del Ejército Mexicano, desde Saltillo, Coahuila.",19 feb.
La mayor riqueza de México es la honestidad de su pueblo. Conferencia de prensa en vivo.,19 feb.
"Recibimos a Astrid, princesa de Bélgica, quien encabeza una delegación ministerial del ámbito económico con representantes de 137 empresas de los sectores de alimentos y bebidas, tecnologías de la información, manufactura, farmacéutica y dispositivos médicos.",18 feb.
El funcionario debe aprender a vivir en la justa medianía. Conferencia matutina en vivo.,18 feb.
"Hoy estuve en las Islas Marías con algunos miembros del Gabinete. Mañana informaré que, después de más de un siglo, dejará de ser prisión.",18 feb.
"Programa 'Sembrando Vida', desde El Salto, Durango.",17 feb.
"En Sinaloa entregamos diversos apoyos de los 'Programas Integrales de Bienestar'; nos comprometimos a concluir la construcción de la presa Santa María, rehabilitar el puerto de Mazatlán y regularizar paulatinamente a los trabajadores del sector salud.",17 feb.
"Visita al tramo Canelas-Tamazula de la carretera Los Herrera-Tamazula, desde Durango.",16 feb.
"Supervisión de obra en tramo carretero Badiraguato-Guadalupe y Calvo, desde Sinaloa.",16 feb.
Nada ni nadie estará por encima de la voluntad soberana del pueblo. Conferencia de prensa en vivo.,15 feb.
El poder solo tiene sentido cuando se pone al servicio de los demás. Conferencia matutina en vivo.,14 feb.
Firma del Acuerdo Marco con la Oficina de la ONU de Servicios para Proyectos,14 feb.
"Nos visitó Riccardo Fraccari, presidente de la Confederación Mundial de Béisbol y Softbol (WBSC)",13 feb.
"La educación no es un privilegio, es un derecho. Conferencia de prensa matutina.",13 feb.
"Becas 'Jóvenes Escribiendo el Futuro' desde la Plaza de las Tres Culturas, Ciudad de México.",12 feb.
Le hablamos todos los días al pueblo de México para que juntos saquemos adelante al país.,12 feb.
"Se pueden castigar los errores del pasado, pero lo fundamental es evitar los delitos del porvenir.",11 feb.
"Con todo respeto para los americanistas, incluidos Jesús y Cuauhtémoc, pero miren la porra del loro palencano de los Aluxes.",10 feb.
"Propuesta para Central Termoeléctrica Huexca desde Cuautla, Morelos.",10 feb.
"Día de la Fuerza Aérea Mexicana desde Base Aérea Militar Santa Lucía, Estado de México.",10 feb.
"«Caminante no hay camino, se hace camino al andar», recordando a Machado.",9 feb.
Conmemoración del 106 Aniversario de la Marcha de la Lealtad en el Castillo de Chapultepec,9 feb.
"Presentación del Programa Nacional de Fertilizantes desde Ciudad Altamirano, Guerrero.",9 feb.
"Entrega de apoyos Producción para el Bienestar desde Huetamo, Michoacán.",8 feb.
"El cambio tiene que significar poner por delante la honestidad, que va más allá de la honradez. Conferencia en vivo",8 feb.
,8 feb.
"Fuimos a Iguala, Guerrero, y pasamos a comer cecina, frijoles y queso de rancho en la Fonda 4 Vientos de Puente de Ixtla, Morelos. Con todo respeto, como México no hay dos.",7 feb.
"Programa Becas para el Bienestar de las Familias desde Iguala, Guerrero.",7 feb.
En una sociedad democrática debe darse el diálogo en un marco de respeto y libertades plenas.,7 feb.
Gobernamos con entrega total a la causa pública. Conferencia matutina desde Palacio Nacional.,6 feb.
Aniversario de la promulgación de la Constitución de 1917.,5 feb.
"Trabajamos desde temprano para dejar, en seis años, muy avanzada la obra de transformación.",5 feb.
"Como pocas veces en la historia, millones de mexicanos participan con entusiasmo en la vida pública.",4 feb.
"En la mañana grabé este video que les comparto por tratarse de la yaca, otra fruta tropical como la piña, muy parecida a la guanábana en olor y delicia.",3 feb.
"Programa Sembrando Vida desde Córdoba, Veracruz.",3 feb.
Terminamos el acto en Acayucan y vamos hacia Córdoba. Pasamos a la orilla de la carretera a tomar un jugo de piña miel. ¡Pa' su mecha qué sabroso!,2 feb.
"Programa Sembrando Vida desde Acayucan, Veracruz.",2 feb.
"Presentación de la iniciativa de gestión sustentable de los residuos desde Minatitlán, Veracruz.",2 feb.
"Programa Sembrando Vida desde Cárdenas, Tabasco.",1 feb.
Hagamos de la honestidad una forma de vida. Conferencia de prensa en vivo.,1 feb.
"Programas Integrales de Bienestar desde Tlaxcala, Tlaxcala.",31 ene.
"Al margen de la ley, nada; por encima de la ley, nadie. Conferencia de prensa en vivo.",31 ene.
"Le presumí al presidente de España, Pedro Sánchez Pérez-Castejón, el mural 'Epopeya del pueblo mexicano' de Diego Rivera, nuestro Picasso.",31 ene.
Conferencia de prensa de los presidentes de México y España.,30 ene.
Diálogo circular con representantes de los medios de comunicación. Conferencia matutina en vivo.,30 ene.
"Apoyo a comunidades marginadas y presentación de la canasta básica desde Cedral, San Luis Potosí.",29 ene.
Conferencia matutina en vivo desde Palacio Nacional.,29 ene.
Conferencia de prensa matutina desde Palacio Nacional.,28 ene.
"En Guasave anunciamos que impulsaremos el béisbol entre jóvenes. Tendremos escuelas para que se conviertan en jugadores o maestros de educación física. Todos becados. En gira de 3 días por Nayarit y Sinaloa, me acompañaron los gobernadores Antonio Echevarría y Quirino Ordaz.",28 ene.
"Presentación de la Estrategia Nacional de Lectura desde Mocorito, Sinaloa.",27 ene.
"Programas Integrales de Bienestar desde Culiacán, Sinaloa.",27 ene.
"Supervisión de la presa Santa María en El Rosario, Sinaloa.",26 ene.
'Al fondo y más allá de lo inmediato',26 ene.
"Atención integral para afectados del Huracán Willa en Tuxpan, Nayarit.",25 ene.
Conferencia de prensa matutina en vivo desde Palacio Nacional.,25 ene.
"Llevamos a los habitantes de Huauchinango, Puebla, y Tulancingo, Hidalgo, —municipios cercanos a ductos de Pemex— Programas Integrales de Bienestar.

En Puebla, llamamos a que las próximas elecciones extraordinarias sean limpias, libres y con respeto a la voluntad del pueblo.",25 ene.
Seguimos respondiendo las preguntas de los medios de comunicación. Conferencia matutina en vivo.,24 ene.
La prensa se regula con la prensa. Conferencia matutina desde Palacio Nacional.,23 ene.
"Programas Integrales de Bienestar, desde Ixtlahuaca, Estado de México.",22 ene.
"Programas Integrales de Bienestar, desde Ixtlahuaca, Estado de México.",22 ene.
"Programas Integrales de Bienestar, desde Acambay, Estado de México.",22 ene.
Continuamos este ejercicio de libertad de expresión. Conferencia matutina en vivo.,22 ene.
Sigue las actividades del presidente de México a través de Telegram,21 ene.
Ayúdennos a limpiar a México. Conferencia de prensa matutina desde Palacio Nacional.,21 ene.
"Cuarta conferencia de prensa extraordinaria por lo ocurrido en Tlahuelilpan, Hidalgo.",21 ene.
"Tercera conferencia de prensa extraordinaria por lo ocurrido en Tlahuelilpan, Hidalgo.",20 ene.
"Segunda conferencia de prensa extraordinaria por lo ocurrido en Tlahuelilpan, Hidalgo.",19 ene.
"Conferencia de prensa extraordinaria por lo ocurrido en Tlahuelilpan, Hidalgo.",19 ene.
Llamo a todo el gobierno a prestar auxilio a la gente en el sitio.,19 ene.
"Lamento mucho la grave situación que se padece en Tlahuelilpan por la explosión de un ducto. Estoy en Aguascalientes y, desde que el director de Pemex y el secretario de Defensa me informaron, di instrucciones para que se controle el fuego y se atienda a las víctimas.",19 ene.
"Apoyo a productores del campo. Precios de garantía para granos básicos, desde Zacatecas, Zacatecas.",18 ene.
Estamos haciendo valer el derecho a la información. Conferencia matutina en vivo.,18 ene.
"Contra la corrupción, ni un paso atrás. Conferencia matutina en vivo.",17 ene.
En la reunión nocturna del gabinete de seguridad confirmamos que se sigue avanzando hacia la normalización en el abasto de combustibles.,17 ene.
"Si estamos informados, actuamos con criterio. Conferencia de prensa en vivo",16 ene.
"Programas Integrales de Desarrollo, desde Iztapalapa, Ciudad de México",15 ene.
"Como todos los días, estamos abiertos a las preguntas de los medios de comunicación. Conferencia en vivo",15 ene.
Si se informa con objetividad y profesionalismo se evita el rumor tendencioso. Conferencia matutina,14 ene.
"Programa de Pensión para el Bienestar de las Personas Adultas Mayores, desde Valle de Chalco, Estado de México",13 ene.
Avance sobre el operativo contra el robo de combustible a la nación https://youtu.be/QcvI-daUBIY ,12 ene.
"Firma presidente AMLO declaratoria del Año del Caudillo del Sur, Emiliano Zapata Salazar",12 ene.
"Hoy en Tlapa, en la Montaña de Guerrero, una de las regiones más pobres de México, dio inicio el Programa de Pensión para el Bienestar de las Personas con Discapacidad que consistirá en otorgar un millón de becas a niñas y niños con capacidades diferentes. https://youtu.be/fND-vozkv7o ",12 ene.
"En nuestro viaje a Tlapa, Guerrero, nos pararon en Chinantla, municipio de la Mixteca Poblana, estudiantes de bachillerato. Les hablé del programa nacional de becas para todos los alumnos de este nivel escolar.",11 ene.
El cambio es un hecho. Conferencia de prensa matutina desde Palacio Nacional,11 ene.
"Hoy inicia el extraordinario programa Jóvenes Construyendo el Futuro con el que garantizaremos —como nunca se había hecho en el país— el derecho a estudiar y trabajar para todos aquellos que han sido discriminados y marginados. 
https://youtu.be/abUhu-knVhY ",10 ene.
"Cero corrupción, cero impunidad. Conferencia de prensa matutina desde Palacio Nacional.",10 ene.
"En la reunión con cónsules, embajadoras y embajadores de México tuve oportunidad para reafirmar los principios de nuestra política exterior

https://youtu.be/c_eFVnYXrFg ",10 ene.
La vida pública es cada vez más pública. Conferencia de prensa en vivo,9 ene.
Entrevista en La Silla Roja,9 ene.
Seguimos en comunicación directa con representantes de los medios.,8 ene.
"Les comparto el encuentro con Vanessa Ponce de León, mexicana que ganó el certamen de belleza Miss Mundo, que también incluye la labor social realizada en beneficio de la comunidad.

https://youtu.be/KBBSYk-OrK8 ",7 ene.
La verdad nos hará libres. Conferencia matutina desde Palacio Nacional,7 ene.
"Programa de la Zona Libre de la Frontera Norte, desde Tijuana, Baja California.",6 ene.
"Programa de la Zona Libre de la Frontera Norte, desde Ciudad Juárez, Chihuahua.",5 ene.
"Ya funciona la reducción del IVA, del ISR, del precio de las gasolinas y el aumento al doble del salario mínimo en la franja fronteriza de México con Estados Unidos. Hoy lo constaté en Reynosa, Tamaulipas. https://youtu.be/WgCrE2Q63p4 ",5 ene.
Cuentas claras y chocolate espeso. Conferencia de prensa matutina,4 ene.
"Hoy en Morelia, Michoacán, hablé del compromiso de garantizar el derecho a la salud a todos los mexicanos. Para esta misión me apoyan dos servidores públicos honestos: Jorge Alcocer, secretario de Salud y Germán Martínez, director del IMSS.",4 ene.
Sigue las actividades del presidente de México a través de la aplicación Telegram:,3 ene.
La transformación va. Conferencia de prensa matutina,3 ene.
La libertad de expresión es una realidad. Conferencia de prensa en vivo,2 ene.
Confieso que estoy optimista. Nos irá bien a todos los mexicanos en este año 2019. ¡Felicidades! https://youtu.be/xUs4wuYainQ ,1 ene.
"Todos los mexicanos tenemos derecho a vivir y ser felices; es mi deseo para 2019.
http://bit.ly/2QXyXJ7 ",31 dic. 2018
Uno de los sueños que se convertirá en realidad.,30 dic. 2018
Firma del Decreto de Estímulos Fiscales de la Región Fronteriza Norte,29 dic. 2018
"En Torreón, en compañía de presidentes municipales y de los gobernadores de Coahuila y Durango, presentamos los Programas Integrales de Desarrollo para la Comarca Lagunera https://youtu.be/QEfrqGYt5s0 ",28 dic. 2018
La verdad siempre se abre paso. Conferencia matutina desde Palacio Nacional,28 dic. 2018
"Supervisando, con Claudia Sheinbaum, obras que quedaron en proceso y que vamos a concluir: la ampliación de la Línea 12 del Metro y el Tren Toluca-Ciudad de México.",27 dic. 2018
Información es poder público. Conferencia de prensa matutina,27 dic. 2018
Conferencia matutina en vivo,26 dic. 2018
"En lo personal, mi más profundo pésame a los familiares del senador Rafael Moreno Valle y de su esposa, la gobernadora de Puebla Martha Érika Alonso. Como autoridad, asumo el compromiso de investigar las causas; decir la verdad sobre lo sucedido y actuar en consecuencia",24 dic. 2018
Estoy recibiendo información de un accidente en Puebla por desplome de un helicóptero. Por confirmar que iban la gobernadora Martha Erika Alonso y el ex gobernador Rafael Moreno Valle. He ordenado a todo el gobierno actuar de inmediato.,24 dic. 2018
Conferencia matutina en vivo,24 dic. 2018
Plan de Desarrollo del Istmo de Tehuantepec,23 dic. 2018
"En San Pedro y San Pablo Ayutla, Oaxaca, presentamos el Programa Nacional de Infraestructura Carretera 2018-2024. Nos comprometimos a ampliar la infraestructura carretera en todo el país —con especial atención en la zona sur— y terminar obras inconclusas https://youtu.be/MhElBSJ3meg ",22 dic. 2018
"Sirva este espléndido programa de homenaje a la senadora Angélica García, quien lamentablemente falleció cuando la anhelada transformación comienza.",22 dic. 2018
Anunciamos que conectaremos a comunidades y Pueblos Originarios de Oaxaca con la pavimentación de más de 5 mil kilómetros de caminos hacia cabeceras municipales y otros poblados. https://youtu.be/XH3YmwALU7k ,22 dic. 2018
Hoy dimos a conocer en Oaxaca el Programa Nacional para los Pueblos Indígenas de México https://youtu.be/emXvigI8MZ8 ,21 dic. 2018
"Previo a gira por Oaxaca, conversamos con los medios de comunicación",21 dic. 2018
"Como cada mañana, respondemos las preguntas de las y los periodistas",20 dic. 2018
"Carlos Payán es un fiel heredero del periodismo que ejercía con independencia y valor Daniel Cabrera, director de 'El Hijo del Ahuizote'.",19 dic. 2018
"Conversamos con directivos de Hydro-Québec, una empresa del gobierno de Canadá con la cual llevaremos a cabo un programa de cooperación para rehabilitar las 60 hidroeléctricas de nuestro país y producir 100 por ciento más de energía limpia y barata https://youtu.be/39RlJAjPLfI ",19 dic. 2018
Conferencia matutina en vivo,19 dic. 2018
Hoy en Hidalgo iniciamos con la reapertura de El Mexe y presentamos el programa de 100 nuevas universidades públicas. También ofrecí enmendar el error que se cometió al reducir el presupuesto federal para las universidades públicas,18 dic. 2018
"Hoy recibí a Fausto Costa, presidente ejecutivo de Nestlé. Me informó que en Veracruz construirán una planta para procesar 20 mil toneladas de café, con una inversión inicial de 154 millones de dólares y la creación de empleos en el campo y la ciudad. https://youtu.be/ltiPqq8VZY4 ",18 dic. 2018
"Como todos los días, estamos abiertos a las preguntas de los medios de comunicación",18 dic. 2018
"Hoy inició una nueva política salarial acordada por representantes obreros y del sector empresarial. Como no se veía desde hace muchos años, el salario mínimo aumenta 16 por ciento y en la frontera norte será de 176 pesos https://youtu.be/xBRermt-hZc ",17 dic. 2018
Seguimos en comunicación directa con representantes de los medios,17 dic. 2018
"Felicitaciones al América; ánimo al Cruz Azul. «El que persevera, alcanza».",16 dic. 2018
"Inició, con una ofrenda a la Madre Tierra, la construcción del Tren Maya. https://youtu.be/eIpYilh5ia4 ",16 dic. 2018
"Canelo, te deseo suerte, porque tienes técnica y arrojo. Un abrazo",15 dic. 2018
"En Ciudad del Carmen, Campeche, presentamos el Plan Nacional para la Producción de Hidrocarburos https://youtu.be/mBas_f0956c ",15 dic. 2018
Hoy firmamos con los gobernadores del sur-sureste el Acuerdo Nacional de Salud para el bienestar.,14 dic. 2018
Conferencia de prensa matutina,14 dic. 2018
Diálogos circulares con los medios,13 dic. 2018
"Hoy conversamos por teléfono con el presidente Donald Trump. En términos respetuosos y de amistad, tratamos el tema migratorio y la posibilidad de aplicar un programa conjunto para el desarrollo y la creación de empleos en Centroamérica y en nuestro país.",12 dic. 2018
Información sin censura,12 dic. 2018
"Hoy en Jojutla, Morelos, iniciamos el Programa Nacional de Reconstrucción para los pueblos afectados por los sismos del año pasado https://youtu.be/JR4slYLCIoM ",11 dic. 2018
Seguimos garantizando el derecho a la información,11 dic. 2018
Les comparto mi intervención en la entrega del Premio Nacional de Derechos Humanos 2018 https://youtu.be/osqvOb-I5bQ ,10 dic. 2018
Iniciamos la semana dialogando con los medios,10 dic. 2018
"En España y Japón no tienen petróleo y producen todos los combustibles que consumen. En México, por el mal gobierno, compramos el 75 % de las gasolinas que consumimos. Se rehabilitarán las 6 refinerías y construiremos una en Dos Bocas, Paraíso,Tabasco https://youtu.be/Do2LLcPWp00 ",9 dic. 2018
"Hoy presentamos el Programa Nacional del Electricidad en la Central Hidroeléctrica Malpaso, en Tecpatán, Chiapas

Terminar con la corrupción y reducir sueldos de altos funcionarios, permitirá invertir en la CFE; a largo plazo beneficiará a los consumidores https://youtu.be/YVx029L0sSQ ",8 dic. 2018
"Asistí a la toma de protesta de Rutilio Escandón, gobernador del estado de Chiapas.",8 dic. 2018
Conferencia de prensa matutina desde Palacio Nacional,7 dic. 2018
Diálogo con periodistas desde Palacio Nacional,6 dic. 2018
"Asistí a la toma de protesta de Claudia Sheinbaum Pardo, jefa de Gobierno de la Ciudad de México. Es una mujer excepcional: inteligente, honesta y con convicciones. Gran ayuda para hacer realidad la Cuarta Transformación del país.",5 dic. 2018
Tercera conferencia de prensa desde Palacio Nacional,5 dic. 2018
Diálogo con periodistas desde Palacio Nacional,4 dic. 2018
Hoy iniciamos las acciones para conocer la verdad y hacer justicia a los jóvenes de Ayotzinapa,3 dic. 2018
Primera conferencia de prensa matutina desde Palacio Nacional,3 dic. 2018
"Hoy estuve en la Plaza Lerdo, ahora Regina Martinez. Acompañé al extraordinario gobernador de Veracruz, Cuitláhuac García. https://youtu.be/jWBVyO9Gb1k ",2 dic. 2018
"Asistí al Campo Marte a la ""Ceremonia de Salutación de las Fuerzas Armadas al Presidente de los Estados Unidos Mexicanos"" https://youtu.be/ZRTDshEKmNw ",2 dic. 2018
Ceremonia de entrega del Bastón de Mando y Primer Discurso a la Nación,1 dic. 2018
Te invito a seguir la transmisión en directo en un día histórico.,1 dic. 2018
Te invito a seguir la transmisión en directo en un día histórico.,1 dic. 2018
Inicia la cuarta transformación de la vida pública de México. Empeño mi palabra: no les defraudaré.,1 dic. 2018
"Ahora nos acompañó Jeremy Corbyn, dirigente del Partido Laborista. Ya estamos por llegar a la Ciudad de México.",30 nov. 2018
"Seguimos en Palenque con nuestros amigos, alternando la escritura del discurso del sábado con la poesía de Nicolás Guillén, leída por Silvio. Lo compartimos.",29 nov. 2018
Estoy en la zona arqueológica de Palenque con dos amigos invitados: Silvio Rodríguez y Miguel Ángel Revilla.,28 nov. 2018
"Gracias por participar en la consulta del fin de semana. La democracia va. 
https://youtu.be/oS8oXqfZyX4 ",27 nov. 2018
Constitución Moral,26 nov. 2018
Convocatoria para la elaboración de la Constitución Moral,26 nov. 2018
"Les comparto el discurso que dirigí a las tropas, oficiales y sus familias en el Campo Militar 1. Reafirmé que el soldado es pueblo uniformado y que confío en que la Fuerzas Armadas nos ayudarán a lograr la paz con respeto a los derechos humanos https://youtu.be/YaelAM41Uzk ",25 nov. 2018
"antigua capital sagrada de los mayas del siglo XIX que lucharon por la justicia y mejores condiciones de vida. No dejen de participar, hoy es el último día de la Consulta.",25 nov. 2018
"Miren lo que no saben los abajofirmantes, lo digo con respeto y reconozco que la mayoría son personas muy inteligentes, pero aunque parezca increíble, les falta baño de pueblo. 

La foto es del 20 de noviembre en Noh Cah Santa Cruz (hoy Felipe Carrillo Puerto, Quintana Roo)",25 nov. 2018
"Acabo de ir a votar, en compañía de Beatriz, en la consulta para decidir sobre los programas prioritarios que llevaremos a cabo. Les invito a participar.",24 nov. 2018
"Este es el último mensaje sobre el Tren Maya, pero dirigido a los niños que nunca dejaremos de ser. https://youtu.be/SdW-7uB5fIA ",23 nov. 2018
Este es el segundo mensaje; es para los jóvenes de hasta 90 años. https://youtu.be/aBkKmL5xJhI ,23 nov. 2018
"Como es de dominio público, yo estoy a favor del Tren Maya; a lo largo del día les compartiré tres mensajes sobre este proyecto. Va el primero, dirigido a toda la población. https://youtu.be/k0Y3d2FTDOA ",23 nov. 2018
Les comparto entrevista con Azucena Uresti con motivo de la próxima consulta,22 nov. 2018
"Invité a comer a mi casa al presidente Enrique Peña Nieto. Me he reunido en otras ocasiones con él por razones de carácter institucional. Ahora, nos encontramos para definir el programa del 1 de diciembre y para agradecer sus atenciones.",21 nov. 2018
Les comparto la entrevista con Carmen. Convocaremos a los ciudadanos para participar en la consulta.,21 nov. 2018
Hoy con Ciro para convocar a la consulta del sábado 24 y domingo 25 de noviembre sobre los 10 proyectos prioritario…,20 nov. 2018
https://www.facebook.com/lopezobrador.org.mx/videos/325282148304787/ …,19 nov. 2018
Entrevista en Televisa para invitar a todas y todos a participar en la consulta del sábado y del domingo sobre los 10 proyectos prioritarios... y otras cositas más https://youtu.be/K8ZQm0nO4A0 ,19 nov. 2018
Memoria Histórica y Cultural de México,19 nov. 2018
"Amigos de las benditas redes sociales, ayúdennos a difundir la próxima Consulta Ciudadana. Es importante que se abra paso, cada vez más, a la democracia participativa. Saludos. https://bit.ly/2Tl0cei 

https://youtu.be/m2kCt1ExgUY ",16 nov. 2018
"Terminamos una reunión importante con Verónica Velasco, José Agustín Ortiz Pinchetti, Enrique Galván Ochoa y Jesús Ramírez Cuevas. Les compartimos algunos criterios del porqué de la elaboración de la Constitución Moral 
https://youtu.be/ndPYaszC458 ",15 nov. 2018
"Ricardo Salinas Pliego, Bernardo Gómez, Olegario Vázquez Aldir, Carlos Hank González, Daniel Chávez, Miguel Rincón, Sergio Gutiérrez y Miguel Alemán hijo. 

Vamos a seguir convocando a todas y todos.",15 nov. 2018
Alfonso Romo me ayuda de enlace con los empresarios de México; un grupo de ellos aceptó formar parte de un Consejo Asesor de apoyo al próximo presidente: https://youtu.be/5JSZCMju_C8 ,15 nov. 2018
Plan Nacional de Paz y Seguridad 2018-2024,14 nov. 2018
"La muerte de Fernando del Paso es una irreparable pérdida para la literatura mexicana. Hasta hoy, era el mejor escritor vivo del país. En lo personal, nunca olvidaré el apoyo que me dio durante el desafuero. Mi pésame a sus familiares y amigos.",14 nov. 2018
"Gracias por las felicitaciones. Como el ideal y el cariño que nos tenemos es recíproco, les comparto mi deseo: quiero estar bien de salud para terminar mi mandato en 2024 y celebrar con ustedes que pudimos forjar una patria nueva, libre, democrática y fraterna.",13 nov. 2018
"A Carlos Alazraki lo obnubila su conservadurismo y su fobia anti-AMLO, al grado de inventar una supuesta boda de mi hijo en un hotel de lujo en Campeche. Lástima porque me alegraría mucho llenarme de nietos. ¡Ojalá se animen mis vástagos!",12 nov. 2018
"Garantizaremos la libertad de expresión, el derecho a disentir y se acatará el resultado que sea.",12 nov. 2018
"El 24 y 25 de noviembre habrá consulta sobre construcción del Tren Maya, refinería, desarrollo del Istmo y programas sociales. Proyecto por proyecto en la misma boleta. En esto sí me pronuncio a favor porque lo ofrecí en campaña; lo argumentaré en los medios.",12 nov. 2018
Conferencia de prensa,9 nov. 2018
